island_identification_code,island,station_name,species_name,survey_year,flowering_date,day
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2016,21-mai,141
FANT,du Fantôme,Fantôme 8,Arctostaphylos.uva-ursi,2017,30-mai,150
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2004,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2005,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2006,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2007,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2008,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2009,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2010,NA,NA
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2011,31-mai,151
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2012,23-mai,143
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2013,19-mai,139
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2014,29-mai,149
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2015,31-mai,151
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2016,22-mai,142
FANT,du Fantôme,Fantôme 9,Arctostaphylos.uva-ursi,2017,30-mai,150
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2004,05-juin,156
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2005,31-mai,151
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2006,12-mai,132
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2007,26-mai,146
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2008,25-mai,145
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2009,24-mai,144
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2010,19-mai,139
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2011,30-mai,150
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2012,24-mai,144
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2013,11-mai,131
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2014,25-mai,145
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2015,30-mai,150
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2016,25-mai,145
MARP,Petite île au Marteau,MARP 1,Arctostaphylos.uva-ursi,2017,13-juin,164
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2004,NA,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2005,NA,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2006,24-mai,144
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2007,06-juin,157
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2008,02-juin,153
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2009,00-janv,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2010,00-janv,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2011,00-janv,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2012,00-janv,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2013,NA,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2014,NA,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2015,NA,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2016,NA,NA
HAVR,du Havre,Pointe de chasse 2,Arctostaphylos.uva-ursi,2017,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2004,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2005,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2006,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2007,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2008,00-janv,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2009,05-juin,156
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2010,00-janv,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2011,00-janv,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2012,00-janv,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2013,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2014,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2015,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2016,NA,NA
HAVR,du Havre,Pointe de chasse 4,Arctostaphylos.uva-ursi,2017,NA,NA
